;Bone,ボーン名,ボーン名(英),変形階層,物理後(0/1),位置_x,位置_y,位置_z,回転(0/1),移動(0/1),IK(0/1),表示(0/1),操作(0/1),親ボーン名,表示先(0:オフセット/1:ボーン),表示先ボーン名,オフセット_x,オフセット_y,オフセット_z,ローカル付与(0/1),回転付与(0/1),移動付与(0/1),付与率,付与親名,軸制限(0/1),制限軸_x,制限軸_y,制限軸_z,ローカル軸(0/1),ローカルX軸_x,ローカルX軸_y,ローカルX軸_z,ローカルZ軸_x,ローカルZ軸_y,ローカルZ軸_z,外部親(0/1),外部親Key,IKTarget名,IKLoop,IK単位角[deg]
Bone,"全ての親","master",0,0,0,0,0,1,1,0,1,1,"",1,"センター",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"センター","center",0,0,0,8,0,1,1,0,1,1,"全ての親",1,"センター先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"グルーブ","groove",0,0,0,8.2,0,1,1,0,1,1,"センター",0,"",0,1.4,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"腰","waist",0,0,0,11.74867,0.2648515,1,0,0,1,1,"グルーブ",0,"",0,1.195125,-0.4160964,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"上半身","upper body",0,0,0,13.30119,-0.255278,1,0,0,1,1,"腰",1,"上半身2",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"上半身2","upper body2",0,0,0,14.39211,-0.1659307,1,0,0,1,1,"上半身",0,"",0,1.620792,0.1327446,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"首","neck",0,0,0,16.4181,-2.980232E-08,1,0,0,1,1,"上半身2",1,"頭",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"頭","head",0,0,0,16.7985,-2.980232E-08,1,0,0,1,1,"首",1,"頭先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左目","eye_L",2,0,0.349879,17.85793,-0.348349,1,0,0,1,1,"頭",1,"左目先",0,0,0,0,1,0,1,"両目",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右目","eye_R",2,0,-0.349879,17.85793,-0.348349,1,0,0,1,1,"頭",1,"右目先",0,0,0,0,1,0,1,"両目",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"ﾈｸﾀｲ１","necktie1",0,0,0,15.89999,-0.7627801,1,0,0,1,1,"上半身2",1,"ﾈｸﾀｲ２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"ﾈｸﾀｲ２","necktie2",0,0,0,14.7769,-1.154322,1,0,0,1,1,"ﾈｸﾀｲ１",1,"ﾈｸﾀｲ３",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
